can_id,id_format,count,dlcs,median_period_ms,approx_hz,first_payload,top_payloads
0x13FFE060,extended,25,0:25,1199.365,0.834,,<empty>:25
0x62C,standard,10,8:10,2998.588,0.333,0140000000000000,0040000000000000:9;0140000000000000:1
0x10244060,extended,9,1:9,4147.175,0.241,02,06:6;02:3
0x10424060,extended,7,3:7,999.815,1.000,059964,079964:6;059964:1
0x10ACE060,extended,3,8:3,107.126,9.335,1E00000000000000,1E00000000000000:1;1E00200000000000:1;2B00000000000000:1
0x10AE8060,extended,3,8:3,30.047,33.281,030E010104050000,030E010104050000:2;0016010800000000:1
0x103D6060,extended,2,1:2,106.577,9.383,00,00:2
0x10774060,extended,2,1:2,741.235,1.349,00,00:2
0x1084A060,extended,2,1:2,60.260,16.595,00,00:2
0x10B0A060,extended,2,3:2,110.912,9.016,001E04,001E04:1;002B04:1
0x100,standard,1,0:1,,,,<empty>:1
0x103BC060,extended,1,1:1,,,00,00:1
0x103DA060,extended,1,1:1,,,00,00:1
0x10444060,extended,1,1:1,,,00,00:1
0x10448060,extended,1,1:1,,,00,00:1
0x1045C060,extended,1,1:1,,,40,40:1
0x10600060,extended,1,7:1,,,01609370015B00,01609370015B00:1
0x10812060,extended,1,1:1,,,00,00:1
0x10A04060,extended,1,1:1,,,00,00:1
0x10AFC060,extended,1,8:1,,,38FFFFFFFFFFFF2B,38FFFFFFFFFFFF2B:1
