group,inference,index,offset,raw,frame_id,flags,clean_standard_encoding,log_presence,known_classification,observed_count,observed_dlcs,observed_files
Group A,BCM transmit / periodic output / body-base table,0,0x01DE74,0x1FC40000,0x7F1,0x00000,yes,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,1,0x01DE78,0x19040000,0x641,0x00000,yes,not_observed,priority_xref_target,0,,
Group A,BCM transmit / periodic output / body-base table,2,0x01DE7C,0x19040000,0x641,0x00000,yes,not_observed,priority_xref_target,0,,
Group A,BCM transmit / periodic output / body-base table,3,0x01DE80,0x18840000,0x621,0x00000,yes,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,4,0x01DE84,0x15040000,0x541,0x00000,yes,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,5,0x01DE88,0x93FFE000,0x4FF,0x3E000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,6,0x01DE8C,0x90EC8000,0x43B,0x08000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,7,0x01DE90,0x90EC4000,0x43B,0x04000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,8,0x01DE94,0x90AEC000,0x42B,0x2C000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,9,0x01DE98,0x90ACA000,0x42B,0x0A000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,10,0x01DE9C,0x90858000,0x421,0x18000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,11,0x01DEA0,0x90814000,0x420,0x14000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,12,0x01DEA4,0x9080E000,0x420,0x0E000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,13,0x01DEA8,0x9080A000,0x420,0x0A000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,14,0x01DEAC,0x90806000,0x420,0x06000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,15,0x01DEB0,0x90800000,0x420,0x00000,yes,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,16,0x01DEB4,0x907AA000,0x41E,0x2A000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,17,0x01DEB8,0x907A4000,0x41E,0x24000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,18,0x01DEBC,0x90790000,0x41E,0x10000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,19,0x01DEC0,0x90788000,0x41E,0x08000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,20,0x01DEC4,0x90784000,0x41E,0x04000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,21,0x01DEC8,0x90780000,0x41E,0x00000,yes,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,22,0x01DECC,0x9077C000,0x41D,0x3C000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,23,0x01DED0,0x9076C000,0x41D,0x2C000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,24,0x01DED4,0x90768000,0x41D,0x28000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,25,0x01DED8,0x90758000,0x41D,0x18000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,26,0x01DEDC,0x90756000,0x41D,0x16000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,27,0x01DEE0,0x90754000,0x41D,0x14000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,28,0x01DEE4,0x90728000,0x41C,0x28000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,29,0x01DEE8,0x90722000,0x41C,0x22000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,30,0x01DEEC,0x9071C000,0x41C,0x1C000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,31,0x01DEF0,0x90718000,0x41C,0x18000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,32,0x01DEF4,0x90714000,0x41C,0x14000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,33,0x01DEF8,0x90708000,0x41C,0x08000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,34,0x01DEFC,0x90704000,0x41C,0x04000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,35,0x01DF00,0x906FC000,0x41B,0x3C000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,36,0x01DF04,0x906F8000,0x41B,0x38000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,37,0x01DF08,0x906F4000,0x41B,0x34000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,38,0x01DF0C,0x906F0000,0x41B,0x30000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,39,0x01DF10,0x906C0000,0x41B,0x00000,yes,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,40,0x01DF14,0x906B8000,0x41A,0x38000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,41,0x01DF18,0x906B0000,0x41A,0x30000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,42,0x01DF1C,0x906AA000,0x41A,0x2A000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,43,0x01DF20,0x9064E000,0x419,0x0E000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,44,0x01DF24,0x9064A000,0x419,0x0A000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,45,0x01DF28,0x90646000,0x419,0x06000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,46,0x01DF2C,0x90644000,0x419,0x04000,no,not_observed,,0,,
Group A,BCM transmit / periodic output / body-base table,47,0x01DF30,0x90632000,0x418,0x32000,no,not_observed,,0,,
